2016-02-23 15:47:52,341 [main] INFO  (BTree.java [printStatistics]:2549) - values.dbx INDEX Buffers occupation : 2% (1 out of 64) Cache efficiency : N/A 
2016-02-23 15:47:52,341 [main] INFO  (BFile.java [printStatistics]:436) - values.dbx DATA Buffers occupation : 0% (0 out of 64) Cache efficiency : N/A 
2016-02-23 15:47:52,379 [main] INFO  (Configurator.java [save]:1244) - Storing configuration /db/system/security/exist/accounts/admin.xml 
2016-02-23 15:47:52,389 [main] INFO  (NativeBroker.java [sync]:3588) - Memory: 63,360K total; 760,256K max; 37,427K free 
2016-02-23 15:47:52,389 [main] INFO  (BTree.java [printStatistics]:2549) - dom.dbx INDEX Buffers occupation : 2% (1 out of 64) Cache efficiency : 100% 
2016-02-23 15:47:52,394 [main] INFO  (DOMFile.java [printStatistics]:1360) - dom.dbx DATA Buffers occupation : 2% (4 out of 256) Cache efficiency : 100% 
2016-02-23 15:47:52,394 [main] INFO  (BTree.java [printStatistics]:2549) - collections.dbx INDEX Buffers occupation : 2% (1 out of 64) Cache efficiency : 100% 
2016-02-23 15:47:52,395 [main] INFO  (BFile.java [printStatistics]:436) - collections.dbx DATA Buffers occupation : 2% (1 out of 64) Cache efficiency : 100% 
2016-02-23 15:47:52,395 [main] INFO  (BTree.java [printStatistics]:2549) - values.dbx INDEX Buffers occupation : 2% (1 out of 64) Cache efficiency : N/A 
2016-02-23 15:47:52,395 [main] INFO  (BFile.java [printStatistics]:436) - values.dbx DATA Buffers occupation : 0% (0 out of 64) Cache efficiency : N/A 
2016-02-23 15:47:52,406 [main] INFO  (Configurator.java [save]:1244) - Storing configuration /db/system/security/config.xml 
2016-02-23 15:47:52,412 [main] INFO  (NativeBroker.java [removeXMLResource]:2641) - Removing document config.xml (3) ... 
2016-02-23 15:47:52,429 [main] INFO  (NativeBroker.java [sync]:3588) - Memory: 63,360K total; 760,256K max; 36,693K free 
2016-02-23 15:47:52,431 [main] INFO  (BTree.java [printStatistics]:2549) - dom.dbx INDEX Buffers occupation : 2% (1 out of 64) Cache efficiency : 100% 
2016-02-23 15:47:52,431 [main] INFO  (DOMFile.java [printStatistics]:1360) - dom.dbx DATA Buffers occupation : 2% (4 out of 256) Cache efficiency : 100% 
2016-02-23 15:47:52,431 [main] INFO  (BTree.java [printStatistics]:2549) - collections.dbx INDEX Buffers occupation : 2% (1 out of 64) Cache efficiency : 100% 
2016-02-23 15:47:52,432 [main] INFO  (BFile.java [printStatistics]:436) - collections.dbx DATA Buffers occupation : 2% (1 out of 64) Cache efficiency : 100% 
2016-02-23 15:47:52,433 [main] INFO  (BTree.java [printStatistics]:2549) - values.dbx INDEX Buffers occupation : 2% (1 out of 64) Cache efficiency : N/A 
2016-02-23 15:47:52,436 [main] INFO  (BFile.java [printStatistics]:436) - values.dbx DATA Buffers occupation : 0% (0 out of 64) Cache efficiency : N/A 
2016-02-23 15:47:52,438 [main] INFO  (Configurator.java [save]:1244) - Storing configuration /db/system/security/exist/accounts/admin.xml 
2016-02-23 15:47:52,442 [main] INFO  (NativeBroker.java [removeXMLResource]:2641) - Removing document admin.xml (4) ... 
2016-02-23 15:47:52,450 [main] INFO  (NativeBroker.java [sync]:3588) - Memory: 63,360K total; 760,256K max; 36,693K free 
